epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2033.54,1.49336,4.37836,1.52659,0.94521,0.95652,0.97677,0.55368,1.49148,4.26754,1.51166,0.005743,0.005743,0.005743
45,2080.44,1.50828,4.37788,1.53406,0.92793,0.95005,0.96417,0.53659,1.51312,4.31148,1.51875,0.005644,0.005644,0.005644
46,2126.51,1.46615,4.4023,1.50624,0.97037,0.97502,0.98238,0.53492,1.53906,4.43229,1.5248,0.005545,0.005545,0.005545
47,2172.46,1.5302,4.46605,1.54401,0.43096,0.37855,0.43248,0.20276,1.8779,11.7846,1.76834,0.005446,0.005446,0.005446
48,2218.47,1.47857,4.43731,1.50809,0.95659,0.95969,0.97862,0.54472,1.5465,4.37242,1.54148,0.005347,0.005347,0.005347
49,2264.2,1.469,4.33514,1.49406,0.96503,0.95706,0.98018,0.55582,1.50657,4.21592,1.51556,0.005248,0.005248,0.005248
50,2310,1.45868,4.32756,1.49707,0.31727,0.28231,0.31099,0.13864,1.83466,13.6374,1.73947,0.005149,0.005149,0.005149
51,2356.07,1.44297,4.51071,1.49192,0.89125,0.96068,0.95272,0.5111,1.53845,4.79185,1.53338,0.00505,0.00505,0.00505
52,2401.92,1.46654,4.66197,1.48921,0.95569,0.9647,0.97837,0.53563,1.51798,4.40865,1.51991,0.004951,0.004951,0.004951
53,2447.62,1.46282,4.38046,1.50251,0.94882,0.95689,0.96783,0.552,1.49024,4.36027,1.51347,0.004852,0.004852,0.004852
54,2493.4,1.4683,4.49337,1.49682,0.94745,0.97135,0.97869,0.52963,1.55845,4.49197,1.54975,0.004753,0.004753,0.004753
55,2538.93,1.48725,4.55949,1.51618,0.96932,0.95157,0.97922,0.54971,1.4949,4.40486,1.51622,0.004654,0.004654,0.004654
56,2584.99,1.45161,4.50229,1.48675,0.947,0.93217,0.97146,0.50911,1.58309,4.67256,1.56281,0.004555,0.004555,0.004555
57,2630.38,1.44755,4.45745,1.48798,0.94554,0.96894,0.96883,0.54317,1.51463,4.2692,1.52468,0.004456,0.004456,0.004456
58,2676.1,1.46072,4.31507,1.49262,0.45582,0.21651,0.34798,0.17631,1.96724,14.8254,1.79904,0.004357,0.004357,0.004357
59,2721.87,1.45042,4.19232,1.47457,0.97515,0.96826,0.98224,0.55492,1.50882,4.13278,1.51456,0.004258,0.004258,0.004258
60,2767.7,1.45406,4.18366,1.50761,0.65681,0.66532,0.69353,0.37193,1.6202,7.85996,1.59885,0.004159,0.004159,0.004159
61,2813.27,1.44037,4.26318,1.47486,0.95163,0.94757,0.97513,0.54032,1.50443,4.19317,1.51329,0.00406,0.00406,0.00406
62,2859.1,1.43808,4.18579,1.48627,0.40683,0.17023,0.30763,0.12505,2.59855,17.4222,2.28028,0.003961,0.003961,0.003961
63,2904.8,1.42482,4.07806,1.46981,0.97282,0.95259,0.97754,0.54844,1.53451,4.07492,1.53375,0.003862,0.003862,0.003862
64,2950.51,1.43752,4.05777,1.49401,0.9597,0.96513,0.97595,0.54213,1.51722,4.06696,1.52291,0.003763,0.003763,0.003763
65,2996.64,1.42807,4.01347,1.48482,0.95944,0.9699,0.97433,0.54726,1.49247,4.03254,1.51184,0.003664,0.003664,0.003664
66,3042.63,1.40942,4.0417,1.4699,0.9492,0.72435,0.85489,0.49622,1.59865,5.94737,1.58302,0.003565,0.003565,0.003565
67,3088.57,1.41163,3.93455,1.46288,0.69514,0.67431,0.7024,0.38299,1.65022,7.70157,1.61304,0.003466,0.003466,0.003466
68,3134.33,1.40807,3.9385,1.46247,0.96042,0.96381,0.97515,0.55641,1.51911,4.02687,1.51968,0.003367,0.003367,0.003367
