epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,433.667,0.51384,1.02007,0.94526,0.9471,0.95467,0.97266,0.77669,0.82436,1.53241,1.20812,0.005743,0.005743,0.005743
45,443.668,0.49792,1.00846,0.93029,0.94349,0.96525,0.97104,0.7859,0.81535,1.46345,1.19977,0.005644,0.005644,0.005644
46,453.498,0.48938,0.98291,0.93698,0.94852,0.95967,0.9681,0.77727,0.81917,1.47466,1.21732,0.005545,0.005545,0.005545
47,463.395,0.48342,0.9833,0.91653,0.93352,0.97067,0.97089,0.77743,0.83739,1.54,1.26506,0.005446,0.005446,0.005446
48,473.257,0.46823,0.96456,0.91638,0.90857,0.94386,0.95122,0.75992,0.84624,1.63687,1.2691,0.005347,0.005347,0.005347
49,482.972,0.47307,0.96215,0.91079,0.08439,0.06432,0.05514,0.01813,3.60023,19.8078,6.17244,0.005248,0.005248,0.005248
50,492.823,0.45681,0.94262,0.91095,0.94271,0.97138,0.9725,0.77782,0.825,1.48302,1.22073,0.005149,0.005149,0.005149
51,502.697,0.45316,0.93877,0.90811,0.96026,0.95239,0.9686,0.76256,0.86637,1.51751,1.26556,0.00505,0.00505,0.00505
52,512.541,0.45199,0.94126,0.89854,0.94602,0.97093,0.97717,0.78421,0.82279,1.47367,1.22901,0.004951,0.004951,0.004951
53,522.342,0.42977,0.904,0.89389,0.94083,0.95944,0.97706,0.77817,0.82311,1.48065,1.26742,0.004852,0.004852,0.004852
54,532.23,0.43049,0.9085,0.88732,0.96136,0.97002,0.9766,0.79184,0.81248,1.41689,1.22239,0.004753,0.004753,0.004753
55,542.052,0.42174,0.88915,0.88289,0.48023,0.44337,0.42071,0.23004,2.11434,10.0685,4.4139,0.004654,0.004654,0.004654
56,551.848,0.42716,0.88306,0.88508,0.95155,0.9723,0.97529,0.7866,0.80069,1.42691,1.21373,0.004555,0.004555,0.004555
57,561.98,0.40636,0.8791,0.88397,0.80965,0.82867,0.87401,0.62908,1.05214,3.0016,1.65175,0.004456,0.004456,0.004456
58,571.958,0.40044,0.85885,0.87194,0.91586,0.94118,0.96471,0.75076,0.86819,1.66858,1.34325,0.004357,0.004357,0.004357
59,581.687,0.38478,0.83225,0.86416,0.95284,0.97243,0.97109,0.78333,0.80833,1.42069,1.21988,0.004258,0.004258,0.004258
60,591.662,0.40116,0.85258,0.86991,0.92504,0.95698,0.95601,0.7508,0.85828,1.61146,1.28263,0.004159,0.004159,0.004159
61,601.641,0.38492,0.83834,0.86876,0.94356,0.96285,0.96947,0.77601,0.81627,1.47128,1.24057,0.00406,0.00406,0.00406
62,611.587,0.38327,0.82459,0.86395,0.84891,0.93046,0.93832,0.70665,0.92966,1.94707,1.44155,0.003961,0.003961,0.003961
63,621.575,0.36841,0.80949,0.85703,0.9269,0.97076,0.97086,0.77446,0.82889,1.47733,1.26107,0.003862,0.003862,0.003862
64,631.542,0.35844,0.79269,0.8501,0.96116,0.96698,0.97546,0.78251,0.8023,1.42707,1.22686,0.003763,0.003763,0.003763
65,641.602,0.3571,0.78529,0.84677,0.75879,0.73521,0.78031,0.53382,1.20871,3.8655,1.81436,0.003664,0.003664,0.003664
66,651.625,0.34448,0.78281,0.83898,0.95669,0.97302,0.97658,0.78376,0.81709,1.44339,1.22903,0.003565,0.003565,0.003565
67,661.583,0.3464,0.77218,0.83703,0.95382,0.97399,0.97248,0.78382,0.81436,1.43796,1.24598,0.003466,0.003466,0.003466
68,671.733,0.32543,0.73843,0.83208,0.87207,0.92001,0.94383,0.71414,0.91457,1.88286,1.41618,0.003367,0.003367,0.003367
69,681.745,0.33578,0.74758,0.83409,0.95003,0.9753,0.9688,0.77164,0.81317,1.47766,1.26534,0.003268,0.003268,0.003268
70,691.783,0.32499,0.73884,0.83193,0.93722,0.95752,0.97204,0.76449,0.84174,1.53926,1.30505,0.003169,0.003169,0.003169
71,701.738,0.31047,0.71038,0.82437,0.95564,0.96308,0.97325,0.78072,0.81295,1.46247,1.24459,0.00307,0.00307,0.00307
72,711.742,0.30514,0.71158,0.82087,0.95442,0.96872,0.96979,0.78013,0.80471,1.45039,1.23816,0.002971,0.002971,0.002971
73,721.752,0.30198,0.70259,0.82107,0.96694,0.96908,0.9758,0.78644,0.80529,1.43877,1.24732,0.002872,0.002872,0.002872
74,731.724,0.28524,0.67381,0.81213,0.94749,0.96523,0.97387,0.78373,0.80366,1.46203,1.25418,0.002773,0.002773,0.002773
75,741.757,0.28916,0.68112,0.8156,0.94065,0.9484,0.96939,0.76742,0.82716,1.50244,1.30441,0.002674,0.002674,0.002674
76,751.744,0.27852,0.66671,0.8048,0.95829,0.96989,0.97479,0.78408,0.7967,1.44276,1.24761,0.002575,0.002575,0.002575
77,761.659,0.27273,0.65724,0.80327,0.94882,0.97493,0.97327,0.783,0.80581,1.44648,1.25086,0.002476,0.002476,0.002476
78,771.765,0.28166,0.66726,0.80666,0.95342,0.96883,0.96989,0.78176,0.80402,1.47001,1.25144,0.002377,0.002377,0.002377
79,781.738,0.2628,0.64764,0.80769,0.94795,0.96226,0.97405,0.78139,0.80075,1.47605,1.24299,0.002278,0.002278,0.002278
