epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,230.52,0.80068,1.52533,1.122,0.67624,0.35919,0.50627,0.27336,2.09094,8.82572,3.00668,0.005644,0.005644,0.005644
46,235.316,0.7527,1.44187,1.10891,0.01974,0.01042,0.01028,0.00172,4.08194,17.3096,7.51871,0.005545,0.005545,0.005545
47,240.184,0.76808,1.50248,1.10398,0.03557,0.02778,0.01723,0.00398,4.06626,15.8002,8.49486,0.005446,0.005446,0.005446
48,245.11,0.68162,1.35374,1.07505,0.05889,0.04617,0.04173,0.00785,4.11156,13.5495,9.49831,0.005347,0.005347,0.005347
49,249.95,0.75788,1.42392,1.10342,0.24731,0.2657,0.22627,0.10873,2.84466,12.3255,4.66034,0.005248,0.005248,0.005248
50,254.926,0.73199,1.39603,1.07177,0.94821,0.94489,0.97127,0.77671,0.84295,1.58316,1.22078,0.005149,0.005149,0.005149
51,259.881,0.71186,1.34663,1.06287,0.8551,0.90841,0.93173,0.66647,1.09258,2.29208,1.58471,0.00505,0.00505,0.00505
52,264.739,0.7201,1.42411,1.09099,0.91309,0.93335,0.95919,0.72643,0.95336,1.90211,1.34193,0.004951,0.004951,0.004951
53,269.623,0.75719,1.36561,1.09264,0.89968,0.92454,0.95645,0.74754,0.90963,1.88425,1.28135,0.004852,0.004852,0.004852
54,274.55,0.77236,1.42286,1.09218,0.92661,0.88692,0.94837,0.74696,0.92348,1.90835,1.32196,0.004753,0.004753,0.004753
55,279.463,0.66828,1.27565,1.06434,0.67865,0.23856,0.3804,0.18837,2.49999,10.901,4.01765,0.004654,0.004654,0.004654
56,284.438,0.68603,1.2437,1.04389,0.91577,0.93036,0.95121,0.74637,0.89056,1.77485,1.27448,0.004555,0.004555,0.004555
57,289.31,0.67359,1.27311,1.04782,0.88766,0.92737,0.93656,0.73095,0.92819,1.91809,1.28983,0.004456,0.004456,0.004456
58,294.289,0.74204,1.34207,1.05605,0.05531,0.09581,0.0426,0.01414,3.47999,17.0905,5.73147,0.004357,0.004357,0.004357
59,299.146,0.68173,1.28917,1.00909,0.03509,0.04514,0.02048,0.00509,4.05678,15.8933,7.27198,0.004258,0.004258,0.004258
60,303.996,0.62695,1.21114,1.05178,0.03758,0.05903,0.02077,0.0048,4.05639,15.253,7.38424,0.004159,0.004159,0.004159
61,308.853,0.71949,1.28583,1.02942,0.05279,0.08662,0.05276,0.01418,3.41028,17.0735,5.56216,0.00406,0.00406,0.00406
62,313.821,0.69378,1.27442,1.05192,0.06384,0.11055,0.0578,0.0182,3.32405,16.6643,5.41054,0.003961,0.003961,0.003961
63,318.735,0.67679,1.26535,1.00248,0.88263,0.87554,0.92026,0.65183,1.07618,2.36935,1.46861,0.003862,0.003862,0.003862
64,323.64,0.66167,1.21238,1.02629,0.00714,0.00694,0.00372,0.00112,3.58479,17.8054,5.41572,0.003763,0.003763,0.003763
65,328.564,0.67277,1.21724,1.01112,0.15317,0.13842,0.12091,0.04196,2.99211,14.2682,4.09384,0.003664,0.003664,0.003664
66,333.458,0.71454,1.29364,1.007,0.18964,0.11637,0.1352,0.0525,3.00401,15.5007,4.0139,0.003565,0.003565,0.003565
67,338.353,0.69106,1.25486,1.02362,0.67325,0.31329,0.502,0.26485,2.04926,9.291,3.02649,0.003466,0.003466,0.003466
68,343.234,0.6939,1.30299,0.96448,0.27134,0.1664,0.11405,0.02799,2.97429,15.509,4.87494,0.003367,0.003367,0.003367
69,348.196,0.63931,1.21537,1.00411,0.03137,0.07864,0.01977,0.00627,3.38933,18.3971,6.07272,0.003268,0.003268,0.003268
70,353.052,0.62978,1.21724,1.0141,0.01245,0.04167,0.0073,0.00181,3.75499,18.7128,6.92644,0.003169,0.003169,0.003169
71,357.881,0.65102,1.19114,0.9837,0.03097,0.1083,0.02149,0.00708,3.38358,19.1735,5.97459,0.00307,0.00307,0.00307
72,362.769,0.6467,1.21175,0.98815,0.73258,0.60022,0.71728,0.45401,1.47802,4.81569,2.42944,0.002971,0.002971,0.002971
73,367.672,0.65373,1.18775,0.98936,0.92171,0.97298,0.96631,0.78151,0.82788,1.50866,1.21166,0.002872,0.002872,0.002872
74,372.602,0.65824,1.21812,1.00147,0.87443,0.84125,0.90766,0.65413,1.05319,2.36259,1.60674,0.002773,0.002773,0.002773
75,377.669,0.60796,1.13558,0.96826,0.61586,0.45195,0.54202,0.2872,2.00051,6.65177,3.11031,0.002674,0.002674,0.002674
76,382.566,0.62156,1.16438,0.94828,0.45155,0.15208,0.12931,0.02697,3.20924,13.9199,5.78749,0.002575,0.002575,0.002575
77,387.419,0.64477,1.21024,1.00577,0.80468,0.75311,0.82299,0.59074,1.16051,3.11502,1.80742,0.002476,0.002476,0.002476
78,392.234,0.6296,1.14107,0.96039,0.92684,0.95291,0.96064,0.76605,0.8986,1.75148,1.32472,0.002377,0.002377,0.002377
79,397.101,0.62675,1.12216,0.95169,0.91139,0.93302,0.95271,0.75507,0.89287,1.71554,1.28703,0.002278,0.002278,0.002278
80,401.944,0.55802,1.05239,0.94031,0.83218,0.93719,0.92425,0.69458,1.00793,2.11752,1.52056,0.002179,0.002179,0.002179
81,406.849,0.60731,1.1214,0.95524,0.92214,0.9616,0.96656,0.76244,0.9046,1.64009,1.28644,0.00208,0.00208,0.00208
82,411.696,0.63803,1.13156,0.97262,0.66604,0.66456,0.69834,0.40119,1.62313,4.38468,2.67506,0.001981,0.001981,0.001981
83,416.552,0.61468,1.14336,0.93568,0.898,0.9382,0.9512,0.72762,0.96033,1.9047,1.40141,0.001882,0.001882,0.001882
84,421.39,0.61916,1.14963,0.96928,0.94857,0.97199,0.97514,0.79211,0.80694,1.43298,1.16511,0.001783,0.001783,0.001783
85,426.384,0.57751,1.14017,0.92099,0.95114,0.96447,0.97913,0.79648,0.79355,1.39584,1.16829,0.001684,0.001684,0.001684
86,431.288,0.63667,1.14235,0.95238,0.94969,0.94882,0.97519,0.78509,0.82038,1.45053,1.1926,0.001585,0.001585,0.001585
87,436.152,0.58386,1.07792,0.93221,0.94361,0.9429,0.96554,0.76468,0.86195,1.53637,1.24403,0.001486,0.001486,0.001486
88,441.098,0.60428,1.10315,0.94628,0.91752,0.93102,0.95301,0.74603,0.90709,1.75501,1.28451,0.001387,0.001387,0.001387
89,445.937,0.54824,1.04505,0.93502,0.72534,0.77993,0.79788,0.5565,1.21918,3.10712,1.88887,0.001288,0.001288,0.001288
90,450.797,0.5717,1.11594,0.92429,0.93563,0.95339,0.96917,0.78114,0.82794,1.52206,1.21232,0.001189,0.001189,0.001189
91,456.947,0.58283,1.10608,0.90127,0.94727,0.9641,0.972,0.76912,0.87536,1.62776,1.2788,0.00109,0.00109,0.00109
92,461.978,0.56265,1.09327,0.89914,0.85705,0.78209,0.87474,0.61323,1.18848,2.86711,1.90443,0.000991,0.000991,0.000991
93,466.894,0.58015,1.09968,0.89498,0.95205,0.96664,0.9648,0.77689,0.83797,1.52856,1.22629,0.000892,0.000892,0.000892
94,471.886,0.51512,0.99421,0.93827,0.94913,0.96884,0.96829,0.78011,0.83569,1.48994,1.22745,0.000793,0.000793,0.000793
95,476.916,0.5778,1.07037,0.9504,0.93246,0.92539,0.95128,0.73825,0.92969,1.73553,1.34936,0.000694,0.000694,0.000694
96,481.947,0.51976,1.00056,0.93197,0.94086,0.92836,0.95616,0.75043,0.89172,1.65161,1.28806,0.000595,0.000595,0.000595
97,486.899,0.53081,1.02006,0.91842,0.94004,0.9689,0.96926,0.78769,0.81406,1.46631,1.20691,0.000496,0.000496,0.000496
98,491.827,0.53427,1.03989,0.89779,0.95613,0.97455,0.97589,0.7985,0.79688,1.38088,1.18823,0.000397,0.000397,0.000397
99,496.822,0.51791,0.98089,0.92913,0.95753,0.96177,0.97499,0.79209,0.81353,1.45216,1.20494,0.000298,0.000298,0.000298
100,501.911,0.55883,1.06249,0.90283,0.94009,0.96263,0.97139,0.77775,0.86216,1.56701,1.28325,0.000199,0.000199,0.000199
