epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1488.43,1.30399,1.91864,1.07973,0.96816,0.94135,0.96654,0.56891,1.45625,1.98187,1.165,0.005743,0.005743,0.005743
45,1522.13,1.30937,1.9257,1.09671,0.96664,0.95986,0.97703,0.56698,1.44941,1.97958,1.16687,0.005644,0.005644,0.005644
46,1555.57,1.33169,1.89636,1.09723,0.22222,0.00198,0.1121,0.06445,2.72984,12.6366,2.87831,0.005545,0.005545,0.005545
47,1589.28,1.36529,1.97517,1.12266,0.95756,0.96084,0.97789,0.56676,1.47036,1.98304,1.16716,0.005446,0.005446,0.005446
48,1623.06,1.29237,1.8831,1.08221,0.9596,0.94447,0.96277,0.55692,1.4778,2.05019,1.19223,0.005347,0.005347,0.005347
49,1656.96,1.32477,1.82717,1.09675,0.94539,0.92343,0.96633,0.55851,1.49848,2.04313,1.17711,0.005248,0.005248,0.005248
50,1690.87,1.31365,1.87151,1.09075,0.96618,0.96269,0.97854,0.57119,1.4769,1.91992,1.17083,0.005149,0.005149,0.005149
51,1724.61,1.30735,1.85786,1.09406,0.95461,0.94761,0.96987,0.5628,1.48756,1.93513,1.18045,0.00505,0.00505,0.00505
52,1758.32,1.3364,1.8256,1.10911,0.8381,0.71683,0.7962,0.45362,1.6246,2.89954,1.28692,0.004951,0.004951,0.004951
53,1791.89,1.32513,1.77015,1.09773,0.96104,0.96024,0.97476,0.57614,1.46687,1.80103,1.1643,0.004852,0.004852,0.004852
54,1825.73,1.31081,1.71436,1.09529,0.96612,0.95998,0.97778,0.56792,1.4968,1.82432,1.19205,0.004753,0.004753,0.004753
55,1859.53,1.31739,1.73926,1.08433,0.55976,0.16025,0.35623,0.17373,2.47919,9.04452,1.6685,0.004654,0.004654,0.004654
56,1893.82,1.31823,1.71233,1.09816,0.9627,0.95865,0.97394,0.56755,1.49391,1.7985,1.17166,0.004555,0.004555,0.004555
57,1927.5,1.30717,1.68922,1.0898,0.96847,0.95536,0.97326,0.56732,1.48896,1.80777,1.17906,0.004456,0.004456,0.004456
58,1961.02,1.2933,1.69816,1.07896,0.97008,0.96098,0.97888,0.57652,1.4795,1.7779,1.1779,0.004357,0.004357,0.004357
59,1995.03,1.2948,1.67135,1.08618,0.97502,0.95563,0.97535,0.57496,1.48353,1.76161,1.17749,0.004258,0.004258,0.004258
