epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,835.943,1.58363,2.36084,1.40797,0.89835,0.82532,0.92376,0.47705,1.61267,2.77277,1.43973,0.005545,0.005545,0.005545
47,854.146,1.47461,2.37462,1.33392,0.91436,0.86451,0.92323,0.48251,1.58895,2.52364,1.42975,0.005446,0.005446,0.005446
48,872.271,1.48395,2.45277,1.36574,0.89617,0.89765,0.91941,0.48325,1.57109,2.74883,1.45417,0.005347,0.005347,0.005347
49,890.26,1.50665,2.45754,1.38123,0.94391,0.86365,0.92542,0.47839,1.58406,2.72875,1.43784,0.005248,0.005248,0.005248
50,908.282,1.53195,2.37453,1.36997,0.88782,0.87986,0.90753,0.48195,1.59994,3.01788,1.44296,0.005149,0.005149,0.005149
51,926.414,1.51255,2.51399,1.37862,0.95385,0.92904,0.96424,0.50878,1.56676,2.4659,1.42473,0.00505,0.00505,0.00505
52,944.477,1.56435,2.41839,1.39598,0.97004,0.93935,0.97423,0.51873,1.54348,2.3759,1.42196,0.004951,0.004951,0.004951
53,962.502,1.48476,2.48426,1.38311,0.85757,0.81471,0.86765,0.453,1.57986,3.52577,1.48375,0.004852,0.004852,0.004852
54,980.717,1.48571,2.4099,1.35541,0.88748,0.85185,0.89957,0.46867,1.56234,3.13651,1.44108,0.004753,0.004753,0.004753
55,998.551,1.44649,2.23005,1.35073,0.85212,0.78717,0.85572,0.46707,1.58276,3.51966,1.43854,0.004654,0.004654,0.004654
56,1016.62,1.50948,2.30169,1.35768,0.81279,0.60658,0.70586,0.37457,1.64309,5.36406,1.49208,0.004555,0.004555,0.004555
57,1034.86,1.45268,2.18834,1.32786,0.55283,0.50542,0.46995,0.24786,1.6738,7.71998,1.55101,0.004456,0.004456,0.004456
58,1052.83,1.45859,2.27211,1.34575,0.73894,0.52201,0.63823,0.32806,1.66909,7.19034,1.52354,0.004357,0.004357,0.004357
59,1070.9,1.49804,2.25831,1.37712,0.83375,0.76518,0.82235,0.43009,1.57996,4.22188,1.45115,0.004258,0.004258,0.004258
60,1089.43,1.45914,2.21258,1.35938,0.82405,0.75297,0.80961,0.40215,1.5874,4.90701,1.49466,0.004159,0.004159,0.004159
61,1107.59,1.48459,2.19911,1.35517,0.85877,0.83979,0.85987,0.47611,1.51989,3.50357,1.42183,0.00406,0.00406,0.00406
62,1125.72,1.45743,2.34802,1.33751,0.82015,0.71814,0.76432,0.38992,1.62624,4.49183,1.48593,0.003961,0.003961,0.003961
63,1143.82,1.38983,2.14333,1.31406,0.80211,0.72458,0.79677,0.41424,1.57982,5.04357,1.48832,0.003862,0.003862,0.003862
64,1161.9,1.45244,2.17064,1.34778,0.89258,0.87519,0.93094,0.48856,1.57262,2.9776,1.4513,0.003763,0.003763,0.003763
65,1179.84,1.42405,2.15621,1.32498,0.86358,0.83535,0.88901,0.47506,1.56971,3.2727,1.4396,0.003664,0.003664,0.003664
66,1198.05,1.43359,2.11092,1.34076,0.81998,0.6196,0.66492,0.35703,1.65117,5.85055,1.5349,0.003565,0.003565,0.003565
67,1216.3,1.39761,2.16936,1.31361,0.86798,0.82988,0.86555,0.46135,1.56876,3.71314,1.45998,0.003466,0.003466,0.003466
68,1234.76,1.46714,2.17909,1.35492,0.92274,0.8784,0.93902,0.523,1.51032,2.71814,1.42819,0.003367,0.003367,0.003367
69,1253.05,1.36398,2.02869,1.2888,0.92074,0.91702,0.95246,0.50695,1.52514,2.64523,1.42193,0.003268,0.003268,0.003268
70,1271.22,1.38858,2.28082,1.32616,0.87935,0.83897,0.89653,0.47573,1.52022,3.16894,1.44814,0.003169,0.003169,0.003169
71,1289.53,1.42049,2.11731,1.32364,0.76884,0.64401,0.65012,0.33652,1.72668,6.49146,1.66313,0.00307,0.00307,0.00307
72,1307.67,1.44232,2.31185,1.33941,0.90492,0.87083,0.92142,0.48634,1.51305,2.96546,1.43374,0.002971,0.002971,0.002971
73,1325.67,1.42833,2.17811,1.33066,0.91643,0.86346,0.92912,0.4896,1.54041,2.90412,1.44789,0.002872,0.002872,0.002872
74,1343.82,1.35517,2.03937,1.29341,0.95316,0.91629,0.96822,0.51284,1.52988,2.49312,1.42483,0.002773,0.002773,0.002773
75,1361.98,1.38414,2.07105,1.31251,0.82233,0.7994,0.83623,0.43128,1.591,4.2067,1.51526,0.002674,0.002674,0.002674
76,1379.87,1.43517,2.06044,1.33591,0.80462,0.65864,0.7651,0.40132,1.65844,4.7403,1.56686,0.002575,0.002575,0.002575
77,1398.04,1.38946,2.0037,1.29711,0.83661,0.71389,0.73749,0.38655,1.65396,5.08539,1.57027,0.002476,0.002476,0.002476
78,1416,1.4312,2.00675,1.3289,0.84657,0.80819,0.82288,0.42628,1.58653,4.42258,1.53798,0.002377,0.002377,0.002377
79,1434.06,1.38192,2.09338,1.2915,0.86096,0.82727,0.84175,0.44101,1.61621,4.01727,1.57246,0.002278,0.002278,0.002278
80,1451.93,1.36893,1.97566,1.32005,0.90418,0.85989,0.91468,0.49009,1.54877,2.91086,1.4687,0.002179,0.002179,0.002179
81,1470.17,1.40376,1.93321,1.2886,0.92723,0.8738,0.93335,0.49581,1.57295,2.65027,1.4486,0.00208,0.00208,0.00208
82,1488.72,1.33671,2.05542,1.28871,0.88467,0.81794,0.83601,0.44118,1.57696,3.53273,1.50622,0.001981,0.001981,0.001981
83,1506.72,1.38392,2.05193,1.3068,0.88361,0.83973,0.89086,0.46864,1.54074,3.54784,1.45695,0.001882,0.001882,0.001882
84,1524.99,1.30115,1.95438,1.23475,0.87891,0.82747,0.88546,0.46589,1.55168,3.53993,1.47545,0.001783,0.001783,0.001783
85,1543.04,1.35304,2.03624,1.28831,0.85439,0.80547,0.86674,0.44296,1.60554,3.84254,1.55018,0.001684,0.001684,0.001684
86,1561,1.39118,2.02006,1.31916,0.85472,0.80996,0.86455,0.455,1.58125,3.82364,1.50952,0.001585,0.001585,0.001585
87,1579.47,1.30732,2.00222,1.26794,0.79887,0.71076,0.7698,0.39825,1.70313,5.77416,1.67835,0.001486,0.001486,0.001486
88,1597.76,1.35372,1.99967,1.29692,0.84974,0.81767,0.80475,0.43199,1.55782,4.09987,1.50083,0.001387,0.001387,0.001387
89,1615.64,1.35426,1.9484,1.27944,0.86263,0.82632,0.81893,0.43739,1.54835,3.86319,1.49147,0.001288,0.001288,0.001288
90,1633.75,1.27081,1.82391,1.23845,0.88336,0.8488,0.90894,0.47199,1.58548,3.13864,1.53885,0.001189,0.001189,0.001189
91,1652.99,1.29288,1.91678,1.26652,0.92775,0.87753,0.93923,0.50842,1.53303,2.57166,1.45843,0.00109,0.00109,0.00109
92,1670.93,1.29317,1.89029,1.26653,0.92372,0.91288,0.9437,0.50657,1.53974,2.39245,1.47106,0.000991,0.000991,0.000991
93,1689.06,1.3069,1.87945,1.26083,0.9295,0.92881,0.95613,0.51459,1.55218,2.38621,1.47733,0.000892,0.000892,0.000892
